1,38,71,58,79,65,0
2,31,66,51,91,65,0
3,25,70,60,72,82,0
4,26,72,69,78,94,1
5,33,73,79,85,75,1
6,26,67,60,78,77,0
7,32,76,60,79,73,0
8,24,64,53,80,72,0
9,39,75,68,68,77,0
10,24,82,81,64,83,1
11,21,70,74,65,81,1
12,22,69,57,80,74,0
13,22,69,50,76,75,0
14,24,72,66,62,93,1
15,23,65,78,77,84,1
16,23,68,65,65,80,1
17,27,68,76,68,92,1
18,26,78,73,67,83,1
19,31,73,56,79,73,0
20,19,67,52,77,75,0
21,21,68,59,74,81,0
22,27,62,56,84,76,0
23,32,65,55,70,72,0
24,24,65,77,81,82,1
25,25,66,70,76,77,0
26,31,68,79,73,78,1
27,25,73,73,64,87,1
28,31,70,78,70,80,1
29,27,68,75,79,79,1
30,39,70,77,70,76,1
